阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
清明,清明,Qīng míng, qīng míng,"Qingming or Pure Brightness, 5th of the 24 solar terms 二十四節氣|二十四节气[er4 shi2 si4 jie2 qi5] 5th-19th April, Pure Brightness Festival or Tomb Sweeping Day (in early April), clear and bright, sober and calm, (of a government or administration) well ordered"
清晰,清晰,qīngxī,"distinct, clear (of sound/view)"
清新,清新,qīngxīn,"pure and fresh, refreshing (of style/fashion/etc.)"
清真寺,清真寺,qīng zhēn sì,"mosque"
情,情,qíng,"sensibility, soil moisture content, affection, feeling, state of affairs, circumstances, interest, emotion, sentiment, condition, mood, situation, kindness, love, inclination, favour, passion"
情報,情报,qíngbào,"poop, intelligence, intelligencer, tip-off, information, info, gen, dope"
情不自禁,情不自禁,qíng bù zì jīn,"unable to restrain emotions, cannot help"
情調,情调,qíng diào,"sentiment, tone and mood, taste"
情懷,情怀,qínghuái,"feelings, mood"
情結,情结,qíngjiē,complex
情侶,情侣,qínglǔ,"sweethearts, lovers"
情人,情人,qíngrén,"inamorato, steady, sweetie, Gill, jo, girlfriend, swain, valentine, paramour, turtledove, jill, girl, sweetling, mouse, heart-throb, lassie, truelove, soul mate, flame, ladybird, ladylove, lover, sweetheart, mistress, admirer, hon, lovey, inamorata, honeybunch, turtle, sweeting, bedmate"
情誼,情谊,qíng yì,"friendship, camaraderie"
情願,情愿,qíng yuàn,"willingness, would rather (agree to X than Y)"
請柬,请柬,qǐng jiǎn,"invitation card, written invitation"
請帖,请帖,qǐng tiě,"invitation card, written invitation"
慶典,庆典,qìng diǎn,"celebration"
慶賀,庆贺,qìng hè,"to congratulate, to celebrate"
慶幸,庆幸,qìngxìng,rejoice at a good outcome
丘陵,丘陵,qiū líng,"hills"
囚犯,囚犯,qiú fàn,"prisoner, convict"
求婚,求婚,qiú hūn,"to propose marriage"
求救,求救,qiú jiù,"to cry for help"
求學,求学,qiúxué,"study, attend school"
求醫,求医,qiú yī,"to seek medical treatment, to see a doctor"
求證,求证,qiú zhèng,"to seek proof, to seek confirmation"
求助,求助,qiúzhù,"invoke, resort, seek help, recur, bring_in, turn to ... for help, appeal"
曲線,曲线,qū xiàn,"curve, curved line, indirect, in a roundabout way"
曲折,曲折,qūzhé,"tortuous, winding, complicated"
驅動,驱动,qūdòng,"prompt, urge, spur on, drive"
驅逐,驱逐,qū zhú,"to expel, to deport, banishment"
屈服,屈服,qū fú,"to surrender, to yield"
趨於,趋于,qūyū,"incline to, trend, tend towards, tend"
麴,曲,Qū, qū, qǔ, qū, qū,"surname Qu, yeast, Aspergillus (includes many common molds), Taiwan pr. [qu2], tune, song, CL:支[zhi1]"
取代,取代,qǔdài,"replace, substitute for, replacement, supersede, substitute, supersession, supplant, displace, preempt, outplace, take the place of, displacement"
取締,取缔,qǔdì,"ban (publication old custom etc.), punish violator"
取而代之,取而代之,qǔ ér dài zhī,"to substitute for sb, to remove and replace"
取經,取经,qǔ jīng,"to journey to India on a quest for the Buddhist scriptures, to learn by studying another's experience"
取決於,取决于,qǔjuéyú,"depending on"
取暖,取暖,qǔ nuǎn,"to warm oneself (by a fire etc)"
取勝,取胜,qǔ shèng,"to score a victory, to prevail over one's opponents"
取笑,取笑,qǔ xiào,"to tease, to make fun of"
娶,娶,qǔ,"get married, conjoin, espouse, wive, take to wife, marry, get hitched with, hook up with, wed, take a wife"
去除,去除,qù chú,"to remove, to dislodge"
去處,去处,qù chù,"place, destination"
去向,去向,qù xiàng,"the position of sth, whereabouts"
趣味,趣味,qùwèi,"playfulness, merriment, savor, camp, interest, salt, delight, savour, liking, fun, gout, preference, spice, lust, gusto, palate, taste, delectation"
圈套,圈套,quān tào,"trap, snare, trick"
圈子,圈子,quān zi,"circle, ring, (social) circle"
權衡,权衡,quán héng,"to consider, to weigh (a matter), to balance (pros and cons)"
權威,权威,quánwēi,"authoritativeness, sanction, pontiff, prince, pundit, a person of authority, authority, princedom, muscle, power, pope"
權益,权益,quányì,rights and interests
全長,全长,quán cháng,"overall length, span"
全程,全程,quán chéng,"the whole distance, from beginning to end"
全方位,全方位,quán fāng wèi,"all around, omni-directional, complete, holistic, comprehensive"
全局,全局,quán jú,"overall situation"
全力以赴,全力以赴,quán lì yǐ fù,"to do at all costs, to make an all-out effort"
全能,全能,quán néng,"omnipotent, all-round, strong in every area"
全文,全文,quán wén,"entire text, full text"
全心全意,全心全意,quán xīn quán yì,"heart and soul, wholeheartedly"
拳,拳,quán,"fist, boxing"
拳頭,拳头,quán tou,"fist, clenched fist, CL:個|个[ge4], competitive (product)"
勸告,劝告,quàn gào,"to advise, to urge, to exhort, exhortation, advice, CL:席[xi2]"
勸說,劝说,quàn shuō,"to persuade, persuasion, to advise"
勸阻,劝阻,quàn zǔ,"to advise against, to dissuade"
缺口,缺口,quē koǔ,"nick, jag, gap, shortfall"
缺失,缺失,quēshī,"lacuna, drawback, gaps and omissions, deletion, defect, hole"
缺席,缺席,quēxí,be absent (from meeting/etc.)
確切,确切,quèqiè,"correct, accurate, clear and unambiguous, precise, exact, definite, tangible"
確信,确信,què xìn,"to be convinced, to be sure, to firmly believe, to be positive that, definite news"
確鑿,确凿,què záo,"definite, conclusive, undeniable, authentic, also pr. [que4 zuo4]"
確診,确诊,què zhěn,"to make a definite diagnosis"
燃放,燃放,rán fàng,"to light, to set off (firecrackers etc)"
燃氣,燃气,rán qì,"natural gas"
燃油,燃油,rán yoú,"fuel oil"
嚷,嚷,rǎng,"to blurt out, to shout"
讓步,让步,ràng bù,"to concede, to give in, to yield, a concession"
饒,饶,Ráo, ráo,"surname Rao, rich, abundant, exuberant, to add for free, to throw in as bonus, to spare, to forgive, despite, although"
饒恕,饶恕,ráo shù,"to forgive, to pardon, to spare"
擾亂,扰乱,rǎo luàn,"to disturb, to perturb, to harass"
繞行,绕行,rào xíng,"detour, long way around"
惹,惹,rě,provoke
熱潮,热潮,rècháo,"rush, surge, spate, upsurge"
熱帶,热带,rèdài,"tropical zone, Torrid Zone, savanna, torrid, the tropics, the torrid zone, tropical_zone, tropical, tropic, tropics"
熱氣,热气,rè qì,"steam, heat, CL:股[gu3]"
熱氣球,热气球,rè qì qiú,"hot air balloon"
熱騰騰,热腾腾,rètēngtēng,"Fever"
熱衷,热衷,rè zhōng,"to feel strongly about, to be fond of, obsession, deep commitment"
人次,人次,réncì,"man-times, man-times (analogous to ""man-hours"")"
人道,人道,réndào,human sympathy
人格,人格,réngé,"lot, fibre, fiber, character, spirit, selfhood, manhood, personality"
人工智能,人工智能,rén gōng zhì néng,"artificial intelligence (AI)"
人均,人均,rén jūn,"per capita"
人品,人品,rén pǐn,"moral standing, moral quality, character, personality, appearance, looks (colloquial), bearing"
人氣,人气,rén qì,"popularity, personality, character"
人情,人情,rénqíng,"human feelings, favor, gift, present"
人身,人身,rén shēn,"person, personal, human body"
人事,人事,rénshì,"personnel, ways of the world, what is humanly possible, human affairs, occurrences in human life, consciousness of the outside world, personnel matters"
人手,人手,rén shoǔ,"manpower, staff, human hand"
人體,人体,réntǐ,"soma, form, body, build, human body, anatomy, figure, chassis, physique, bod, carcass, shape, frame, physical body, material body, flesh, anthropometry"
人為,人为,rénwéi,"man-made, artificial"
人文,人文,rénwén,"letters, humanity, humanities"
人行道,人行道,rén xíng dào,"sidewalk"
人性,人性,rénxìng,"reason, hypostasis, humanitarianism, normal human feelings, humanness, humanity, humanism, human nature, flesh, humanistic, manhood"
人選,人选,rénxuǎn,choice among persons
人緣兒,人缘儿,rényuánr,"erhua variant of 人緣|人缘[ren2 yuan2]"
人造,人造,rénzào,"man-made, synthetic, artificial"
人質,人质,rén zhì,"hostage"
仁慈,仁慈,rén cí,"benevolent, charitable, kind, kindly, kindness, merciful"
忍飢挨餓,忍饥挨饿,rěn jī ái è,"starving, famished"
忍耐,忍耐,rěnnài,"forbear, stand, go, stomach, abide, put up, hold_out, suppress, sustain, brave out, persevere, remain, support, endure, put up with, exercise restraint, suffer, restrain oneself, brave, bear, brook, resist, exercise patience, tolerate, thole, weather"
忍心,忍心,rěn xīn,"to have the heart to do sth, to steel oneself to a task"
認錯,认错,rèn cuò,"to admit an error, to acknowledge one's mistake"
認證,认证,rèn zhèng,"to authenticate, to approve"
認知,认知,rènzhī,"cognize, perceive"
任命,任命,rèn mìng,"to appoint and nominate, (job) appointment, CL:紙|纸[zhi3]"
任期,任期,rèn qī,"term of office"
任人宰割,任人宰割,rèn rén zǎi gē,"to get trampled on (idiom), to be taken advantage of"
任意,任意,rènyì,"willfully, at_will, arbitrarily"
任職,任职,rènzhí,"assignment, be in office, serve, hold a position, hold a post"
韌性,韧性,rèn xìng,"toughness"
日程,日程,rì chéng,"schedule, itinerary, CL:個|个[ge4]"
日復一日,日复一日,rì fù yī rì,"day after day"
日後,日后,rìhòu,in the future
日前,日前,rì qián,"the other day, a few days ago"
日趨,日趋,rìqū,"gradually, day_by_day"
日新月異,日新月异,rì xīn yuè yì,"daily renewal, monthly change (idiom), every day sees new developments, rapid progress"
日益,日益,rìyì,increasingly
榮獲,荣获,rónghuò,have the honor to win
榮幸,荣幸,róng xìng,"honored (to have the privilege of ...)"
榮譽,荣誉,róngyū,"honour, accolade, palm, commendation, credit, lustre, kudos, luster, bay, garland, izzat, laurels, glorification, glory, distinction, honor"
容光煥發,容光焕发,róng guāng huàn fā,"face glowing (idiom), looking radiant, all smiles"
容量,容量,róngliàng,"volume, measure of capacity, can, capability, capacity (of container), capacity, bulk, volumetric, canful, content"
容納,容纳,róngnà,"have capacity for, receive, admit, take, accommodate, store, recipient, seat, hold, accept, carry, bear, contain, have a capacity of"
容忍,容忍,róngrěn,"tolerate, condone"
容許,容许,róngxǔ,"let_in, have, receive, can, permission, permit, allow for, may, adhibit, might, admissive, provide for, admit, concede, cede, leave, suffer, tolerate, allow"
容顏,容颜,róng yán,"mien, complexion"
溶解,溶解,róng jiě,"to dissolve"
螎,融,róng, róng,"old variant of 融[rong2]"
融化,融化,róng huà,"to melt, to thaw, to dissolve, to blend into, to combine, to fuse"
融洽,融洽,róng qià,"harmonious, friendly relations, on good terms with one another"
冗長,冗长,rǒng cháng,"long and tedious, redundant, superfluous, supernumerary, verbose (of writing)"
柔和,柔和,roú hé,"gentle, soft"
柔軟,柔软,róuruǎn,"lithe, whippy, soft"
揉,揉,roú,"to knead, to massage, to rub"
如果說,如果说,rúguǒshuō,conj.: if
如實,如实,rú shí,"as things really are, realistic"
如意,如意,rúyì,as one wishes
如願以償,如愿以偿,rú yuàn yǐ cháng,"to have one's wish fulfilled"
如醉如癡,如醉如痴,rú zuì rú chī,"lit. as if drunk and stupefied (idiom), intoxicated by sth, obsessed with, mad about sth, also written 如癡如醉|如痴如醉[ru2 chi1 ru2 zui4]"
儒家,儒家,rújiā,Confucian school
儒學,儒学,Rú xué,"Confucianism"
入場,入场,rù chǎng,"to enter the venue for a meeting, to enter into an examination, to enter a stadium, arena etc"
入場券,入场券,rù chǎng quàn,"admission ticket"
入境,入境,rùjìng,enter a country
入侵,入侵,rùqīn,invade
入選,入选,rùxuǎn,"select, be selected, be chosen"
軟弱,软弱,ruǎn ruò,"weak, feeble, flabby"
軟實力,软实力,ruǎn shí lì,"soft power (i.e. media influence, propaganda and cultural ties in lieu of military power)"
瑞雪,瑞雪,ruì xuě,"timely snow"
潤,润,rùn,"to moisten, to lubricate, to embellish, moist, glossy, sleek"
若干,若干,ruògān,"det.: a certain number, how many"
弱點,弱点,ruòdiǎn,"Achilles' heel, soft spot, failing, weakness, underbelly, defect, foible, infirmity, weak_point, blot, frailty, drawback, Achilles'_heel, soft_spot, weak point, vulnerability"
弱勢,弱势,ruòshì,the weak
撒,撒,sā,"drop, throw off all restraint, strow, shower, spill, release, spread, sprinkle, let oneself go, asperse, cast, let out, bestrewn, dredge, sow, scatter, bescatter, let go"
撒謊,撒谎,sā huǎng,"to tell lies"
賽車,赛车,sài chē,"auto race, cycle race, race car"
賽跑,赛跑,sài pǎo,"race (running), to race (running)"
三番五次,三番五次,sān fān wǔ cì,"over and over again (idiom)"
三角,三角,sān jiǎo,"triangle"
三維,三维,sān wéi,"three-dimensional, 3D"
散佈,散布,sàn bù,"to disseminate"
散發,散发,sànfā,"spray, radiate, emission, send out, give forth, exhale, distribution, diffuse, distribute, emit, issue, diffusion, emanate, send forth, sent out, give out, reek, furnace"
桑拿,桑拿,sāng ná,"sauna (loanword)"
嗓子,嗓子,sǎng zi,"throat, voice, CL:把[ba3]"
喪生,丧生,sàng shēng,"to die, to lose one's life"
騷亂,骚乱,sāo luàn,"disturbance, riot, to create a disturbance"
騷擾,骚扰,sāorǎo,"harass, molest"
掃除,扫除,sǎo chú,"to sweep, to clean with a brush, to sweep away (often fig.)"
掃描,扫描,sǎomiáo,scan
掃墓,扫墓,sǎo mù,"to sweep the tombs (of one's ancestors), the Qingming festival"
掃興,扫兴,sǎo xìng,"to have one's spirits dampened, to feel disappointed"
嫂子,嫂子,sǎo zi,"(coll.) older brother's wife, sister-in-law, CL:個|个[ge4]"
僧人,僧人,sēng rén,"monk"
殺害,杀害,shāhài,"cut_down, liquidate, killing, kill, slay, cut_off, grease, remove, murder, destroy, do in, waste, ice, knock off"
殺手,杀手,shā shoǔ,"killer, murderer, hit man, (sports) formidable player"
沙龍,沙龙,shā lóng,"salon (loanword)"
沙灘,沙滩,shātān,sandy beach
紗,纱,shā,"cotton yarn, muslin"
剎車,刹车,shā chē,"to brake (when driving), to stop, to switch off, to check (bad habits), a brake"
砂糖,砂糖,shā táng,"granulated sugar"
鯊魚,鲨鱼,shā yú,"shark"
傻瓜,傻瓜,shǎ guā,"idiot, fool"
篩,筛,shāi,"to filter, to sift, to sieve"
篩選,筛选,shāi xuǎn,"to filter"
曬太陽,晒太阳,shàitàiyáng,"Sun"
山川,山川,shānchuān,"Mountainous"
山頂,山顶,shān dǐng,"hilltop"
山岡,山冈,shān gāng,"mound, small hill"
山嶺,山岭,shān lǐng,"mountain ridge"
山路,山路,shānlù,"nek, pass, mountain road, mountain trail, ghaut, ghat"
山寨,山寨,shān zhài,"fortified hill village, mountain stronghold (esp. of bandits), (fig.) knockoff (goods), counterfeit, imitation"
刪,删,shān,"to delete"
刪除,删除,shānchú,"delete, leave out"
煽動,煽动,shān dòng,"to incite, to instigate"
閃爍,闪烁,shǎnshuò,"twinkle, flicker, glisten"
善,善,shàn,"good (virtuous), benevolent, well-disposed, good at sth, to improve or perfect"
善意,善意,shànyì,"good_faith, grace, good intention, benevolence, love, goodwill, good will"
擅長,擅长,shàncháng,"excel, surpass, stand out, be good at, be skilled in, be expert in"
擅自,擅自,shàn zì,"without permission, of one's own initiative"
膳食,膳食,shàn shí,"meal"
贍養,赡养,shàn yǎng,"to support, to provide support for, to maintain"
傷殘,伤残,shāng cán,"disabled, maimed, crippled, (of objects) damaged"
傷感,伤感,shāng gǎn,"sad, emotional, sentimental, pathos"
傷痕,伤痕,shāng hén,"scar, bruise"
傷腦筋,伤脑筋,shāng nǎo jīn,"to be a real headache, to find sth a real headache, to beat one's brains"
傷勢,伤势,shāng shì,"condition of an injury"
商販,商贩,shāng fàn,"trader, peddler"
商賈,商贾,shāng gǔ,"merchant"
商討,商讨,shāng tǎo,"to discuss, to deliberate"
上報,上报,shàng bào,"to report to one's superiors, to appear in the news, to reply to a letter"
