阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
身價	身价	shēnjià	social status, price of a slave, price of a person (a sportsman etc), worth, value (of stocks, valuables etc)
身心	身心	shēnxīn	body and mind
身影	身影	shēnyǐng	figure, silhouette, form
身子	身子	shēnzi	body
紳士	绅士	shēnshì	gentleman
深切	深切	shēnqiè	heartfelt, deep, profound
深情	深情	shēnqíng	deep emotion, deep feeling, deep love
深奧	深奥	shēnào	profound, abstruse, recondite, profoundly
深入人心	深入人心	shēnrù-rénxīn	to enter deeply into people's hearts, to have a real impact on the people (idiom)
深受	深受	shēnshòu	passive signifier
深信	深信	shēnxìn	to believe firmly
深思	深思	shēnsī	ruminate, politic, chew, ponder deeply, consider carefully, speculate, bethink, rumination, chew the cud, perpend
深遠	深远	shēnyuǎn	profound and far-reaching
深夜	深夜	shēnyè	very late at night
神氣	神气	shénqì	expression, manner, vigorous, impressive, lofty, pretentious
神聖	神圣	shénshèng	sacred, holy
神仙	神仙	shénxian	Daoist immortal, supernatural entity, (in modern fiction) fairy, elf, leprechaun etc, fig. lighthearted person
神態	神态	shéntài	appearance, manner, bearing, deportment, look, expression, mien
審定	审定	shěndìng	to examine and approve, to finalize
審核	审核	shěnhé	examine and verify
審美	审美	shěnměi	esthetics, appreciating the arts, taste
審批	审批	shěnpī	to examine and approve, to endorse
審判	审判	shěnpàn	a trial, to try sb
腎	肾	shèn	kidney
審視	审视	shěnshì	to look closely at, to examine
甚至於	甚至于	shènzhìyú	even (to the point of), so much so that
滲透	渗透	shèntòu	to permeate, to infiltrate, to pervade, osmosis
慎重	慎重	shènzhòng	careful, cautious, serious, discreet
滲	渗	shèn	to seep, to ooze, to horrify
升溫	升温	shēng wēn	to become hot, temperature rise, (fig.) to intensify, to hot up, to escalate, to get a boost
生理	生理	shēnglǐ	physiological, peristalsis, autacoid, endocrinology, chyle, diastole, chyme, physiology, phagocyte
生機	生机	shēngjī	animation, verdure, vitality, vital_force, viability, life, verve, lease of life, new lease on life
生命線	生命线	shēngmìngxiàn	lifeline
生平	生平	shēngpíng	life, all one's life, all one's life (of deceased)
生怕	生怕	shēngpà	to fear, afraid, extremely nervous, for fear that, to avoid, so as not to
生前	生前	shēngqián	during lifetime (of deceased)
生態	生态	shēngtài	ecological, ecosystem, biology, ecology, biota
生死	生死	shēng-sǐ	or death, life or death, life and/or death, life and death, life and
生效	生效	shēng xiào	to take effect, to go into effect
生物	生物	shēngwù	living thing, organism
生涯	生涯	shēngyá	career, pilgrimage, profession, time
生硬	生硬	shēngyìng	stiff, harsh
生育	生育	shēngyù	to bear, to give birth, to grow, to rear, to bring up (children)
聲稱	声称	shēngchēng	to claim, to state, to proclaim, to assert
聲譽	声誉	shēngyù	reputation, fame
聲望	声望	shēngwàng	mana, celebrity, character, prestige, odour, repute, fame, name, prestigiousness, caste, renown, reputation, popularity
繩子	绳子	shéngzi	cord, string, rope, CL:條|条[tiao2]
牲畜	牲畜	shēngchù	domesticated animals, livestock
省略	省略	shěnglüè	to leave out, an omission
省事	省事	shěngshì	to simplify matters, to save trouble, to handle administrative work
勝出	胜出	shèngchū	Win
聖賢	圣贤	shèngxián	a sage, wise and holy man, virtuous ruler, Buddhist lama, wine
勝任	胜任	shèngrèn	qualified, competent (professionally), to be up to a task
盛大	盛大	shèngdà	grand, majestic, magnificent, Shanda Entertainment (PRC computer game company)
盛會	盛会	shènghuì	pageant, distinguished meeting
盛氣凌人	盛气凌人	shèngqì-língrén	overbearing, arrogant bully
剩餘	剩余	shèngyú	remainder, surplus
盛開	盛开	shèngkāi	blooming, in full flower
失傳	失传	shīchuán	(of skills etc) to die out, lost, extinct
屍體	尸体	shītǐ	remains, body, corps, corpus, mort, cadaver, stiff, cadaverine, deader, carcass, corpse, ashes, dust, clay, ash, dead body, corse, bones
失控	失控	shī kòng	to go out of control
失利	失利	shī lì	to lose, to suffer defeat
失戀	失恋	shī liàn	to lose one's love, to break up (in a romantic relationship), to feel jilted
失靈	失灵	shī líng	out of order (of machine), not working properly, a failing (of a system)
失眠	失眠	shī mián	to suffer from insomnia
失明	失明	shī míng	to lose one's eyesight, to become blind, blindness
失落	失落	shīluò	lose
失效	失效	shī xiào	to fail, to lose effectiveness
失蹤	失踪	shī zōng	be missing
失業率	失业率	shīyèlǜ	unemployment rate
師範	师范	shīfàn	teacher-training, pedagogical
師長	师长	shīzhǎng	teacher
獅子	狮子	shīzi	leonine, Panthera leo, king of beasts, lion
師資	师资	shīzī	persons qualifies to teach, teachers, person qualified to teach
施工	施工	shī gōng	work on (of construction)
施加	施加	shījiā	to exert (effort or pressure)
施行	施行	shīxíng	put in force, execute, implement, apply, perform
施壓	施压	shīyā	to pressure
濕潤	湿润	shīrùn	moist
濕度	湿度	shīdù	humidity level
十字路口	十字路口	shízì lùkǒu	crossroads, intersection
時段	时段	shíduàn	slot, time slot, period of time
時不時	时不时	shíbùshí	from time to time
時隔	时隔	shígé	separated in time (usu. followed by a quantity of time)
時間表	时间表	shíjiānbiǎo	time_sheet, schedule, timetable, time sheet
時好時壞	时好时坏	shíhǎoshíhuài	sometimes good, sometimes bad
時髦	时髦	shímáo	in vogue, fashionable
時尚	时尚	shíshàng	fashion, fad, fashionable
時空	时空	shíkōng	time and space, space-time
時速	时速	shísù	speed per hour
識別	识别	shíbié	to distinguish, to discern
實話	实话	shíhuà	truth
實地	实地	shídì	concretely, on the ground, on the ground/spot, spot, on the spot
實話實說	实话实说	shíhuà-shíshuō	to tell the truth, to tell it as it is
實事求是	实事求是	shíshì-qiúshì	to seek truth from facts (idiom), to be practical and realistic
實體	实体	shítǐ	essence, reality, entity, substantive, substantiality, substantialness, existence, substratum, noumenon, substance, materiality
實況	实况	shíkuàng	actual situation/happening
實質	实质	shízhì	quintessence, substantial, essence, meat, parenchyma, kernel, substantiality, measure, being, quiddity, solidity, substance, matter
實物	实物	shíwù	material object, concrete object, original object, in kind, object for practical use, definite thing, reality, matter (physics)
食宿	食宿	shí-sù	board and lodging, room and board
食用	食用	shíyòng	food product, to use as food, edible
史無前例	史无前例	shǐwúqiánlì	unprecedented in history
使喚	使唤	shǐhuan	to order sb about, to use sb
使命	使命	shǐmìng	vocation, calling, military mission, mission, embassy, errand
使者	使者	shǐzhě	emissary, envoy
士氣	士气	shìqì	morale
示威	示威	shì wēi	put on show of force, demonstrate, march
示意	示意	shìyì	to hint, to indicate (an idea to sb)
世代	世代	shìdài	generation, period, epoch
世界級	世界级	shìjièjí	world-class
世故	世故	shìgu	the ways of the world, sophisticated, worldly-wise
世襲	世袭	shìxí	succession, inheritance, hereditary
市場經濟	市场经济	shìchǎng jīngjì	market economy
勢必	势必	shìbì	certainly will, be bound to
勢頭	势头	shìtou	power, momentum, tendency, impetus, situation, the look of things
勢不可當	势不可当	shìbùkědāng	impossible to resist (idiom), an irresistible force
事務	事务	shìwù	pursuit, shebang, routine, affair, work, concern, general affairs, desk, business, matter, transaction
事態	事态	shìtài	situation, existing state of affairs
事務所	事务所	shìwùsuǒ	office, business office, business premises
事項	事项	shìxiàng	issue, item, topic, subject, particular, transaction, matter
事跡	事迹	shìjì	deed, past achievement, important event of the past
侍候	侍候	shìhòu	to serve, to wait upon
試探	试探	shìtan	to sound out, to probe, to feel out, to try out
事宜	事宜	shìyí	arrangements, matters concerned, affairs, arrangement, personal business
試行	试行	shìxíng	to try out, to test
試用期	试用期	shìyòngqī	trial period, probation
試用	试用	shìyòng	try out
視角	视角	shìjiǎo	viewpoint, angle on sth, perspective
視覺	视觉	shìjué	seeing, vision, visual sense, visual sensation, ocular, eyesight, sight, visual
視察	视察	shìchá	to inspect, an investigation
視線	视线	shìxiàn	line of sight
視野	视野	shìyě	visual_field, eyeshot, view, ken, horizon, visual field, field of regard, purview, field of view, coast, sight, eyesight, field of vision, field, sight-shot, eyereach
視力	视力	shìlì	eyeshot, eye, seeing, visual sense, view, beholding, visual perception, vision, visual modality, light, visual sensation, eyesight, sight, sightedness
是非	是非	shìfēi	right and wrong, quarrel, dispute
適度	适度	shìdù	moderate
柿子	柿子	shìzi	persimmon, CL:個|个[ge4]
適宜	适宜	shìyí	suitable, appropriate
適時	适时	shìshí	at right moment, early, timely, betimes
釋放	释放	shìfàng	release, set free
適量	适量	shìliàng	appropriate amount
嗜好	嗜好	shìhào	hobby, indulgence, habit, addiction
收復	收复	shōufù	to recover (lost territory etc), to recapture
收據	收据	shōujù	receipt, CL:張|张[zhang1]
收斂	收敛	shōuliǎn	to vanish, to moderate, to exercise restraint, to curb (one's mirth, arrogance etc), to astringe, (math.) to converge
收買	收买	shōumǎi	to purchase, to bribe
逝世	逝世	shìshì	to pass away, to die
收留	收留	shōuliú	to offer shelter, to have sb in one's care
收縮	收缩	shōusuō	to pull back, to shrink, to contract, (physiology) systole
收視率	收视率	shōushìlǜ	ratings
收支	收支	shōuzhī	cash flow, financial balance, income and expenditure
手臂	手臂	shǒubì	arm
手冊	手册	shǒucè	companion, enchiridion, pamphlet, guidebook, notebook, vade_mecum, leaflet, handbook, booklet, brochure, folder, manual, vade mecum, workbook, guide
手動	手动	shǒudòng	manual, manually operated, manual gear-change
手帕	手帕	shǒupà	handkerchief
手腳	手脚	shǒujiǎo	hand and foot, motions (of hands/feet), underhand method, trick
手槍	手枪	shǒuqiāng	pistol
手勢	手势	shǒushì	sign, pantomime, gesticulation, motion, sign_language, gesture, signal
手術室	手术室	shǒushùshì	Operating room
手腕	手腕	shǒuwàn	wrist
手頭	手头	shǒutóu	in hand (e.g. cash)
手藝	手艺	shǒuyì	craftmanship, workmanship, handicraft, trade
手掌	手掌	shǒuzhǎng	palm
守候	守候	shǒuhòu	to wait for, to expect, to keep watch, to watch over, to nurse
守株待兔	守株待兔	shǒuzhū-dàitù	lit. to guard a tree-stump, waiting for rabbits (idiom), to wait idly for opportunities, to trust to chance rather than show initiative
首創	首创	shǒuchuàng	to create, original creation, to be the first to do sth
守護	守护	shǒuhù	to guard, to protect
首府	首府	shǒufǔ	capital city of an autonomous region
首批	首批	shǒupī	First batch
首飾	首饰	shǒushi	jewelry, head ornament
首要	首要	shǒuyào	chief, paramountcy, premiership, primacy, of first importance
受過	受过	shòu guò	Suffer
壽命	寿命	shòumìng	life
受害人	受害人	shòuhàirén	victim
受害	受害	shòu hài	suffer injury, suffer loss, fall victim, loss, suffer, be affected, victimize, be victimized
受賄	受贿	shòu huì	to accept a bribe, bribery
受驚	受惊	shòu jīng	startled
受苦	受苦	shòu kǔ	to suffer hardship
受理	受理	shòulǐ	accept and hear a case
受益	受益	shòu yì	to benefit from, profit
授權	授权	shòuquán	empower, authorize
受騙	受骗	shòu piàn	be taken in, be fooled, be cheated, be deceived, bite
售價	售价	shòujià	asking price, selling price, selling_price, sell price, price
授予	授予	shòuyǔ	to award, to confer
售票	售票	shòu piào	Ticket sales
書櫥	书橱	shūchú	bookcase
書籍	书籍	shūjí	volume, page, classic, books, fascicule, works, literature
書記	书记	shūji	scribe, penpusher, clerkship, amanuensis, secretarial assistant, pencil pusher, actuary, recorder, secretary, secretariat, clerk, scrivener
書面	书面	shūmiàn	written, in written form, in writing
書寫	书写	shūxiě	write
抒情	抒情	shūqíng	to express emotion, lyric
梳	梳	shū	a comb, to comb
樞紐	枢纽	shūniǔ	hub (e.g. of traffic network), hinge, pivot, fulcrum
梳子	梳子	shūzi	comb, CL:把[ba3]
梳理	梳理	shūlǐ	to comb, fig. to sort out
舒暢	舒畅	shūchàng	happy, entirely free from worry
疏導	疏导	shūdǎo	to dredge, to open up a path for, to remove obstructions, to clear the way, to enlighten, persuasion
疏散	疏散	shūsàn	to scatter, to disperse, to evacuate, scattered, to relax
疏通	疏通	shūtōng	to unblock, to dredge, to clear the way, to get things flowing, to facilitate, to mediate, to lobby, to explicate (a text)
輸家	输家	shūjia	loser
疏忽	疏忽	shūhu	ignore, neglect
輸送	输送	shūsòng	to transport, to convey, to deliver
輸血	输血	shū xuè	to transfuse blood, to give aid and support
贖	赎	shú	to redeem, to ransom
輸液	输液	shū yè	intravenous infusion, to get put on an IV
屬性	属性	shǔxìng	attribute, property
曙光	曙光	shǔguāng	dawn, fig. the dawn of a new era
暑期	暑期	shǔqī	summer vacation time
束縛	束缚	shùfù	tie up, fetter
樹木	树木	shùmù	trees
樹立	树立	shùlì	to set up, to establish
樹梢	树梢	shùshāo	the tip of a tree, treetop
樹蔭	树荫	shùyīn	shade of a tree
竪	竖	shù	to erect, vertical, vertical stroke (in Chinese characters)
樹枝	树枝	shùzhī	branch, twig
數據庫	数据库	shùjùkù	database
刷新	刷新	shuāxīn	to renovate, to refurbish, to refresh (computer window), to write a new page (in history), to break (a record)
耍	耍	shuǎ	surname Shua, to play with, to wield, to act (cool etc), to display (a skill, one's temper etc)
數額	数额	shùé	amount, sum of money, fixed number
耍賴	耍赖	shuǎlài	to act shamelessly, to refuse to acknowledge that one has lost the game, or made a promise etc, to act dumb, to act as if sth never happened
衰減	衰减	shuāijiǎn	to weaken, to attenuate
衰竭	衰竭	shuāijié	organ failure, exhaustion, prostration (medicine)
衰弱	衰弱	shuāiruò	weak, feeble
衰老	衰老	shuāilǎo	to age, to deteriorate with age, old and weak
