阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
生育	生育	shēng yù	to bear; to give birth; to grow; to rear; to bring up (children);  
声称	聲稱	shēng chēng	to claim; to state; to proclaim; to assert;  
声望	聲望	shēng wàng	popularity; prestige;  
声誉	聲譽	shēng yù	reputation; fame;  
牲畜	牲畜	shēng chù	domesticated animals; livestock;  
绳子	繩子	shéng zi	cord; string; rope; CL:條|条[tiao2];  
省略	省略	shěng lüè	to leave out; an omission;  
省事	省事	shěng shì, xǐng shì	to simplify matters; to save trouble;  to handle administrative work;  
圣贤	聖賢	shèng xián	a sage; wise and holy man; virtuous ruler; Buddhist lama; wine;  
胜出	勝齣	shèngchū	Win
胜任	勝任	shèng rèn	qualified; competent (professionally); to be up to a task;  
盛大	盛大	shèng dà	grand; majestic; magnificent; Shanda Entertainment (PRC computer game company);  
盛会	盛會	shèng huì	pageant; distinguished meeting;  
盛开	盛開	shèng kāi	blooming; in full flower;  
盛气凌人	盛氣淩人	shèng qì líng rén	overbearing; arrogant bully;  
剩余	剩餘	shèng yú	remainder; surplus;  
尸体	屍體	shī tǐ	dead body; corpse; carcass; CL:具[ju4];  
失传	失傳	shī chuán	(of skills etc) to die out; lost; extinct;  
失控	失控	shī kòng	to go out of control;  
失利	失利	shī lì	to lose; to suffer defeat;  
失恋	失戀	shī liàn	to lose one's love; to break up (in a romantic relationship); to feel jilted;  
失灵	失靈	shī líng	out of order (of machine); not working properly; a failing (of a system);  
失落	失落	shī luò	to lose (sth); to drop (sth); to feel a sense of loss; frustrated; disappointment; loss;  
失眠	失眠	shī mián	to suffer from insomnia;  
失明	失明	shī míng	to lose one's eyesight; to become blind; blindness;  
失效	失效	shī xiào	to fail; to lose effectiveness;  
失业率	失業率	shī yè lǜ	unemployment rate;  
失踪	失蹤	shī zōng	to be missing; to disappear; unaccounted for;  
师范	師範	shī fàn	teacher-training; pedagogical; normal (school, e.g. Beijing Normal University);  
师长	師長	shī zhǎng	military division level commander; teacher;  
师资	師資	shī zī	qualified teacher;  
狮子	獅子	Shī zǐ, shī zi	Leo (star sign); Shihtzu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan;  lion; CL:隻|只[zhi1],頭|头[tou2];  
施工	施工	shī gōng	construction; to carry out construction or large-scale repairs;  
施加	施加	shī jiā	to exert (effort or pressure);  
施行	施行	shī xíng	to put in place; to put into practice; to take effect;  
施压	施壓	shī yā	to pressure;  
湿度	濕度	shī dù	humidity level;  
湿润	濕潤	shī rùn	moist;  
十字路口	十字路口	shí zì lù koǔ	crossroads; intersection;  
时不时	時不時	shí bù shí	from time to time;  
时段	時段	shí duàn	time interval; work shift; time slot; the twelve two hour divisions of the day;  
时隔	時隔	shí gé	separated in time (usu. followed by a quantity of time);  
时好时坏	時好時壞	shí hǎo shí huài	sometimes good, sometimes bad;  
时间表	時間錶	shí jiān biǎo	schedule; timetable;  
时空	時空	shí kōng	space-time (in relativity);  
时髦	時髦	shí máo	in vogue; fashionable;  
时尚	時尚	shí shàng	fashion; fad; fashionable;  
时速	時速	shí sù	speed per hour;  
识别	識彆	shí bié	to distinguish; to discern;  
实地	實地	shí dì	on-site;  
实话	實話	shí huà	truth;  
实话实说	實話實說	shí huà shí shuō	to tell the truth; to tell it as it is;  
实况	實況	shí kuàng	live (e.g. broadcast or recording); what is actually happening; scene; the real situation;  
实事求是	實事求是	shí shì qiú shì	to seek truth from facts (idiom); to be practical and realistic;  
实体	實體	shí tǐ	entity; substance; thing that has a material existence (as opposed to a conceptual, virtual or online existence); the real thing (as opposed to an image or model of it);  
实物	實物	shí wù	material object; concrete object; original object; in kind; object for practical use; definite thing; reality; matter (physics);  
实质	實質	shí zhì	substance; essence;  
食宿	食宿	shí sù	board and lodging; room and board;  
食用	食用	shí yòng	food product; to use as food; edible;  
史无前例	史無前例	shǐ wú qián lì	unprecedented in history;  
使唤	使喚	shǐ huàn	to order sb about; to use sb;  
使命	使命	shǐ mìng	mission (diplomatic or other); set task;  
使者	使者	shǐ zhě	emissary; envoy;  
士气	士氣	shì qì	morale;  
示威	示威	shì wēi	to demonstrate (as a protest); a demonstration; a military show of force;  
示意	示意	shì yì	to hint; to indicate (an idea to sb);  
世代	世代	shì dài	for many generations; generation; era; age;  
世故	世故	shì gù, shì gu	the ways of the world;  sophisticated; worldly-wise;  
世界级	世界級	shì jiè jí	world-class;  
世袭	世襲	shì xí	succession; inheritance; hereditary;  
市场经济	市場經濟	shì chǎng jīng jì	market economy;  
势必	勢必	shì bì	to be bound to; undoubtedly will;  
势不可当	勢不可當	shì bù kě dāng	impossible to resist (idiom); an irresistible force;  
势头	勢頭	shì toú	power; momentum; tendency; impetus; situation; the look of things;  
事迹	事跡	shì jì	deed; past achievement; important event of the past;  
事态	事態	shì tài	situation; existing state of affairs;  
事务	事務	shì wù	(political, economic etc) affairs; work; transaction (as in a computer database);  
事务所	事務所	shì wù suǒ	business office;  
事项	事項	shì xiàng	matter; item;  
事宜	事宜	shì yí	matters; arrangements;  
侍候	侍候	shì hoù	to serve; to wait upon;  
试探	試探	shì tàn	to sound out; to probe; to feel out; to try out;  
试行	試行	shì xíng	to try out; to test;  
试用	試用	shì yòng	to try something out; on probation;  
试用期	試用期	shì yòng qī	trial period; probation;  
视察	視察	shì chá	to inspect; an investigation;  
视角	視角	shì jiǎo	viewpoint; angle on sth; perspective;  
视觉	視覺	shì jué	sight; vision; visual;  
视力	視力	shì lì	vision; eyesight;  
视线	視綫	shì xiàn	line of sight;  
视野	視野	shì yě	field of view; horizon;  
柿子	柿子	shì zi	persimmon; CL:個|个[ge4];  
是非	是非	shì fēi	right and wrong; quarrel;  
适度	適度	shì dù	moderately; appropriate;  
适量	適量	shì liàng	appropriate amount;  
适时	適時	shì shí	timely; apt to the occasion; in due course;  
适宜	適宜	shì yí	suitable; appropriate;  
逝世	逝世	shì shì	to pass away; to die;  
释放	釋放	shì fàng	to release; to set free; to liberate (a prisoner); to discharge;  
嗜好	嗜好	shì hào	hobby; indulgence; habit; addiction;  
收复	收復	shoū fù	to recover (lost territory etc); to recapture;  
收据	收據	shoū jù	receipt; CL:張|张[zhang1];  
收敛	收斂	shoū liǎn	to vanish; to moderate; to exercise restraint; to curb (one's mirth, arrogance etc); to astringe; (math.) to converge;  
收留	收留	shoū liú	to offer shelter; to have sb in one's care;  
收买	收買	shoū mǎi	to purchase; to bribe;  
收视率	收視率	shoū shì lǜ	ratings;  
收缩	收縮	shoū suō	to pull back; to shrink; to contract; (physiology) systole;  
收支	收支	shoū zhī	cash flow; financial balance; income and expenditure;  
手臂	手臂	shoǔ bì	arm; helper;  
手册	手冊	shoǔ cè	manual; handbook;  
手动	手動	shoǔ dòng	manual; manually operated; manual gear-change;  
手脚	手腳	shoǔ jiǎo	hand and foot; movement of limbs; action; trick; step in a procedure (CL: 道[dao4]);  
手帕	手帕	shoǔ pà	handkerchief; CL:方[fang1];  
手枪	手槍	shoǔ qiāng	pistol; CL:把[ba3];  
手势	手勢	shoǔ shì	gesture; sign; signal;  
手术室	手術室	shǒuzhúshì	Operating room
手头	手頭	shoǔ toú	in hand (e.g. cash);  
手腕	手腕	shoǔ wàn	wrist; trickery; finesse; ability; skill;  
手艺	手藝	shoǔ yì	craftmanship; workmanship; handicraft; trade;  
手掌	手掌	shoǔ zhǎng	palm;  
守候	守候	shoǔ hoù	to wait for; to expect; to keep watch; to watch over; to nurse;  
守护	守護	shoǔ hù	to guard; to protect;  
守株待兔	守株待兔	shoǔ zhū dài tù	lit. to guard a tree-stump, waiting for rabbits (idiom); to wait idly for opportunities; to trust to chance rather than show initiative;  
首创	首創	shoǔ chuàng	to create; original creation; to be the first to do sth;  
首府	首府	shoǔ fǔ	capital city of an autonomous region;  
首批	首批	shǒupī	First batch
首饰	首飾	shoǔ shì	jewelry; head ornament;  
首要	首要	shoǔ yào	the most important; of chief importance;  
寿命	壽命	shoù mìng	life span; life expectancy; lifetime (of a machine);  
受过	受過	shòuguò	Suffer
受害	受害	shoù hài	to suffer damage, injury etc; damaged; injured; killed; robbed;  
受害人	受害人	shoù hài rén	victim;  
受贿	受賄	shoù huì	to accept a bribe; bribery;  
受惊	受驚	shoù jīng	startled;  
受苦	受苦	shoù kǔ	to suffer hardship;  
受理	受理	shoù lǐ	to accept to hear a case; to handle (a service);  
受骗	受騙	shoù piàn	to be cheated; to be taken in; to be hoodwinked;  
受益	受益	shoù yì	to benefit from; profit;  
授权	授權	shoù quán	to authorize;  
授予	授予	shoù yǔ	to award; to confer;  
售价	售價	shoù jià	selling price;  
售票	售票	shòupiào	Ticket sales
书橱	書櫥	shū chú	bookcase;  
书籍	書籍	shū jí	books; works;  
书记	書記	shū ji	secretary (chief official of a branch of a socialist or communist party); clerk; scribe;  
书面	書麵	shū miàn	in writing; written;  
书写	書寫	shū xiě	to write;  
抒情	抒情	shū qíng	to express emotion; lyric;  
枢纽	樞紐	shū niǔ	hub (e.g. of traffic network); hinge; pivot; fulcrum;  
梳	梳	shū	a comb; to comb;  
梳理	梳理	shū lǐ	to comb; fig. to sort out;  
梳子	梳子	shū zi	comb; CL:把[ba3];  
舒畅	舒暢	shū chàng	happy; entirely free from worry;  
疏导	疏導	shū dǎo	to dredge; to open up a path for; to remove obstructions; to clear the way; to enlighten; persuasion;  
疏忽	疏忽	shū hu	to neglect; to overlook; negligence; carelessness;  
疏散	疏散	shū sàn	to scatter; to disperse; to evacuate; scattered; to relax;  
疏通	疏通	shū tōng	to unblock; to dredge; to clear the way; to get things flowing; to facilitate; to mediate; to lobby; to explicate (a text);  
输家	輸傢	shūjiā	loser
输送	輸送	shū sòng	to transport; to convey; to deliver;  
输血	輸血	shū xuè	to transfuse blood; to give aid and support;  
输液	輸液	shū yè	intravenous infusion; to get put on an IV;  
赎	贖	shú	to redeem; to ransom;  
暑期	暑期	shǔ qī	summer vacation time;  
属性	屬性	shǔ xìng	attribute; property;  
曙光	曙光	shǔ guāng	dawn; fig. the dawn of a new era;  
束缚	束縛	shù fù	to bind; to restrict; to tie; to commit; fetters;  
树立	樹立	shù lì	to set up; to establish;  
树木	樹木	shù mù	trees;  
树梢	樹梢	shù shāo	the tip of a tree; treetop;  
树荫	樹蔭	shù yìn	shade of a tree;  
树枝	樹枝	shù zhī	branch; twig;  
竖	竪	shù, shù	to erect; vertical; vertical stroke (in Chinese characters);  
数额	數額	shù é	amount; sum of money; fixed number;  
数据库	數據庫	shù jù kù	database;  
刷新	刷新	shuā xīn	to renovate; to refurbish; to refresh (computer window); to write a new page (in history); to break (a record);  
耍	耍	Shuǎ, shuǎ	surname Shua;  to play with; to wield; to act (cool etc); to display (a skill, one's temper etc);  
耍赖	耍賴	shuǎ lài	to act shamelessly; to refuse to acknowledge that one has lost the game, or made a promise etc; to act dumb; to act as if sth never happened;  
衰减	衰減	shuāi jiǎn	to weaken; to attenuate;  
衰竭	衰竭	shuāi jié	organ failure; exhaustion; prostration (medicine);  
衰老	衰老	shuāi lǎo	to age; to deteriorate with age; old and weak;  
衰弱	衰弱	shuāi ruò	weak; feeble;  
衰退	衰退	shuāi tuì	to decline; to fall; to drop; to falter; a decline; recession (in economics);  
摔跤	摔跤	shuāi jiāo	to trip and fall; to wrestle; wrestling (sports);  
甩	甩	shuǎi	to throw; to fling; to swing; to leave behind; to throw off; to dump (sb);  
率	率	lǜ, shuài	rate; frequency;  to lead; to command; rash; hasty; frank; straightforward; generally; usually;  
拴	拴	shuān	to tie up;  
涮	涮	shuàn	to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table);  
双胞胎	雙胞胎	shuāng bāo tāi	twin; CL:對|对[dui4];  
双边	雙邊	shuāng biān	bilateral;  
双重	雙重	shuāng chóng	double;  
双向	雙嚮	shuāng xiàng	bidirectional; two-way; interactive;  
双赢	雙贏	shuāng yíng	profitable to both sides; a win-win situation;  
霜	霜	shuāng	frost; white powder or cream spread over a surface; frosting; (skin) cream;  
爽快	爽快	shuǎng kuai	refreshed; rejuvenated; frank and straightforward;  
水槽	水槽	shuǐ cáo	sink;  
水稻	水稻	shuǐ dào	rice; paddy; CL:株[zhu1];  
水管	水管	shuǐ guǎn	water pipe;  
水壶	水壺	shuǐ hú	kettle; canteen; watering can;  
水货	水貨	shuǐ huò	smuggled goods; unauthorized goods;  
水晶	水晶	shuǐ jīng	crystal;  
水利	水利	shuǐ lì	water conservancy; irrigation works;  
水灵灵	水靈靈	shuǐ líng líng	vivid; full of life; fresh;  
水龙头	水龍頭	shuǐ lóng toú	faucet; tap;  
水落石出	水落石齣	shuǐ luò shí chū	as the water recedes, the rocks appear (idiom); the truth comes to light;  
水面	水麵	shuǐ miàn	water surface;  
水手	水手	shuǐ shoǔ	mariner; sailor; seaman;  
水温	水溫	shuǐ wēn	water temperature;  
水域	水域	shuǐ yù	waters; body of water;  
水源	水源	shuǐ yuán	water source; water supply; headwaters of a river;  
水涨船高	水漲船高	shuǐ zhǎng chuán gāo	the tide rises, the boat floats (idiom); fig. to change with the overall trend; to develop according to the situation;  
水准	水準	shuǐ zhǔn	level (of achievement etc); standard; level (surveying);  
税收	稅收	shuì shoū	taxation;  
税务	稅務	shuì wù	taxation services; state revenue service;  
睡袋	睡袋	shuì dài	sleeping bag;  
顺便	順便	shùn biàn	conveniently; in passing; without much extra effort;  
顺差	順差	shùn chā	(trade or budget) surplus;  
顺畅	順暢	shùn chàng	smooth and unhindered; fluent;  
顺从	順從	shùn cóng	obedient; to comply; to submit; to defer;  
顺理成章	順理成章	shùn lǐ chéng zhāng	logical; only to be expected; rational and clearly structured (of text);  
顺路	順路	shùn lù	by the way; while out doing sth else; conveniently;  
